                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.23971,                 0.1534,                0.87315,                0.86646,                0.85735,                0.90719,                0.79265,                 0.5851,                0.51327,                 1.1203,               0.001024,               0.001024,               0.001024
                    138,                0.23617,                   0.15,                 0.8702,                0.87146,                0.85158,                0.90718,                0.79259,                  0.585,                0.51491,                 1.1198,               0.000958,               0.000958,               0.000958
                    139,                0.23377,                0.14784,                0.86853,                0.87273,                  0.852,                0.90679,                0.79219,                0.58579,                 0.5164,                 1.1206,               0.000892,               0.000892,               0.000892
                    140,                0.23316,                0.14635,                 0.8675,                0.87051,                0.85346,                0.90586,                0.79256,                0.58699,                0.51836,                 1.1218,               0.000826,               0.000826,               0.000826
                    141,                0.22955,                0.14107,                0.86911,                0.86969,                0.85457,                 0.9052,                0.79211,                0.58712,                0.52009,                 1.1209,                0.00076,                0.00076,                0.00076
                    142,                0.22663,                0.14049,                0.86646,                0.87049,                0.85408,                0.90477,                0.79206,                0.58719,                0.52148,                 1.1209,               0.000694,               0.000694,               0.000694
                    143,                0.22359,                0.13871,                0.86219,                0.87085,                0.85357,                0.90461,                0.79201,                0.58766,                 0.5237,                 1.1209,               0.000628,               0.000628,               0.000628
                    144,                0.22096,                0.13571,                0.86176,                0.86809,                0.85546,                0.90492,                0.79183,                0.58867,                0.52495,                 1.1216,               0.000562,               0.000562,               0.000562
                    145,                0.21975,                0.13436,                0.86276,                0.86874,                0.85387,                0.90423,                0.79204,                0.58887,                0.52785,                 1.1217,               0.000496,               0.000496,               0.000496
                    146,                0.21766,                0.13217,                0.86096,                0.86453,                0.85638,                0.90332,                0.79105,                0.58953,                0.52919,                 1.1222,                0.00043,                0.00043,                0.00043
                    147,                0.21402,                0.12944,                0.85784,                0.86649,                0.85311,                0.90303,                0.79047,                0.58837,                0.53122,                 1.1216,               0.000364,               0.000364,               0.000364
                    148,                0.21197,                0.12851,                0.85777,                0.86636,                0.85297,                0.90303,                 0.7903,                0.58916,                0.53225,                 1.1228,               0.000298,               0.000298,               0.000298
                    149,                0.20915,                0.12624,                 0.8576,                0.87523,                0.84469,                0.90279,                0.79072,                0.58974,                0.53386,                 1.1236,               0.000232,               0.000232,               0.000232
